,scores,polarity_score
federal,0.7986582522180447,0.6738980797855268
reserve,0.7793234012134438,0.5510941427013669
central,0.7338135719218501,0.2620416844380044
bank,0.6853754802834771,-0.04560942477509897
united,0.6067430326116348,-0.5450378483180897
state,0.3629205561573632,-2.0936590428165336
provide,0.7983933972434707,0.6722158721685006
nation,0.11290559887212093,-3.6816113408326845
safe,0.11920875680927498,-3.6415772795119326
flexible,0.8241297433267861,0.8356784519649296
stable,0.8049750864109801,0.7140190048764794
monetary,0.8173167604233399,0.792406273470708
financial,0.7424152557988881,0.3166746705107828
system,0.7649285267380629,0.4596661167502795
open,0.8300338559021163,0.8731780049258557
market,0.7405806742616244,0.305022455780797
committee,0.8600883963158975,1.0640672902474273
policy,0.8018876143004614,0.6944091443857511
principle,0.7815011009900444,0.5649256486328178
practice,0.9340896714774897,1.5340811495178865
implementation,0.7789045544273039,0.548433866997107
report,0.7903435777136077,0.6210880134201245
institution,0.8501545049322458,1.0009728825279904
supervision,0.762832582595216,0.44635387593762305
reporting,0.8045722683667716,0.7114605345916257
form,0.8841584809796985,1.2169467286232618
regulation,0.7383873235801903,0.2910915442355133
letter,0.7516806263117463,0.37552301525632586
banking,0.746620854828441,0.34338623495488
application,0.7353295187185943,0.2716701131756246
legal,0.7011348840054745,0.054485312065620954
development,0.709591150981708,0.10819469298969041
regulatory,0.6770423216209891,-0.09853689196152733
resource,0.9000378931361936,1.3178036905380779
data,0.7311289233872535,0.24499032936641726
structure,0.7735507506802697,0.5144295615925667
statute,0.7655525600889501,0.46362962039158184
payment,0.7901995617211386,0.6201733060415113
service,0.7445234183899652,0.33006451593220343
utility,0.7775958893134546,0.5401219731910909
infrastructure,0.7467574318760405,0.3442536944018941
research,0.49656512371642514,-1.2448250351348902
forum,0.759674327282018,0.4262944409471288
work,0.6995461060992347,0.04439430169309999
paper,0.8672488794065916,1.1095465915749907
note,0.7235487670202877,0.1968455029410437
model,0.6981160839347693,0.03531161717320496
tool,0.824376802928998,0.8372476335344612
asset,0.652617852952569,-0.2536671752493045
liability,0.835322540996218,0.9067687138172487
business,0.773387849345625,0.5133949053003681
finance,0.4785696948505309,-1.3591217273475111
dealer,0.8736769547976299,1.150374057258872
financing,0.7936315523814849,0.6419713517066317
term,0.709520121356248,0.10774355335308147
exchange,0.7003064145828228,0.0492233471903158
rate,0.6854594720454222,-0.04507595704643382
international,0.8133942980941441,0.7674930317304471
account,0.6546284137824382,-0.24089724050316255
household,0.8179475259035683,0.7964125357548292
industrial,0.7450068727063548,0.3331351417900831
activity,0.7628174109069473,0.4462575140338687
interest,0.7005102688037603,0.050518112839991164
micro,0.8940085113032908,1.279508498757806
reference,0.8159760559865396,0.7838908841736244
manual,0.7990713536652032,0.6765218643760657
mdrm,0.7654828811080845,0.4631870592784771
money,0.7810462628408582,0.562036776334663
stock,0.6740617623286951,-0.11746770325763635
balance,0.6703751394049293,-0.14088302771374006
enforcement,0.7081577175765447,0.09909034221604736
community,0.5198346450966925,-1.0970303177677438
analysis,0.737281874274356,0.28407036124470025
consumer,0.8770952423184505,1.172085068403594
january,0.5,-1.22300866163816
meeting,0.759890334583912,0.427666396029958
held,0.043908615186532704,-4.119840797139617
office,0.492071221963585,-1.2733677339116667
board,0.45840973446038363,-1.4871662882692211
governor,0.49088356156768964,-1.2809110748197592
